GeneID	IDG	CYTO_NUC	ER_GOLGI	MitoCarta	MitoCarta_Pathways	SurfaceLabel	CellMembrane	MATRISOME	SECRETED	glycomineN	glycomineO	IO	GeneSymbol
1408	Tbio	NUCLEUS								N			CRY2
1409		BOTH											CRYAA
1410	Tbio	BOTH	GOLGI										CRYAB
1411	Tbio	BOTH											CRYBA1
1412	Tdark												CRYBA2
1413	Tbio												CRYBA4
1414	Tbio												CRYBB1
1415	Tbio												CRYBB2
1417	Tbio												CRYBB3
1418	Tdark												CRYGA
1419	Tbio	BOTH											CRYGB
1420	Tbio	BOTH											CRYGC
1421	Tbio	BOTH											CRYGD
1427	Tbio												CRYGS
1428	Tbio	BOTH											CRYM
1429	Tbio			Matrix	0								CRYZ
1431	Tbio	NUCLEUS		Matrix	Metabolism > Carbohydrate metabolism > TCA cycle	nonsurface							CS
1432	Tchem	BOTH											MAPK14
1434	Tbio	BOTH											CSE1L
1435	Tbio					surface	Cell Membrane	ASSOCIATED	SECRETED	N	O		CSF1
1436	Tclin					surface	Cell Membrane			N	O		CSF1R
1437	Tbio							ASSOCIATED	SECRETED	N	O		CSF2
1438	Tclin					surface	Cell Membrane		SECRETED	N			CSF2RA
1439	Tclin					surface							CSF2RB
1440	Tbio							ASSOCIATED	SECRETED		O		CSF3
1441	Tclin					surface	Cell Membrane		SECRETED	N	O		CSF3R
1442	Tbio		ENDORETICULUM					ASSOCIATED	SECRETED				CSH1
1443	Tbio		ENDORETICULUM					ASSOCIATED	SECRETED				CSH2
1444	Tbio							ASSOCIATED	SECRETED				CSHL1
1445	Tchem	CYTOPLASM					Cell Membrane						CSK
1446	Tbio								SECRETED	N			CSN1S1
1447	Tbio								SECRETED	N			CSN2
1448	Tbio								SECRETED				CSN3
1452	Tchem	BOTH											CSNK1A1
1453	Tchem	BOTH	GOLGI				Cell Membrane						CSNK1D
1454		BOTH											CSNK1E
1455	Tchem	BOTH									O		CSNK1G2
1456	Tbio	BOTH											CSNK1G3
1457	Tchem	NUCLEUS									O		CSNK2A1
1459	Tchem	NUCLEUS											CSNK2A2
1460	Tbio	BOTH											CSNK2B
1462	Tbio							CORE	SECRETED	N	O		VCAN
1463	Tbio							CORE	SECRETED	N	O		NCAN
1464	Tbio					surface	Cell Membrane	ASSOCIATED		N	O		CSPG4
1465	Tbio	NUCLEUS											CSRP1
1466	Tbio	NUCLEUS											CSRP2
1468	Tbio	NUCLEUS		MIM	Metabolism > Carbohydrate metabolism > Gluconeogenesis | Metabolism > Carbohydrate metabolism > Malate-aspartate shuttle | Small molecule transport > SLC25A family								SLC25A10
1469	Tbio							ASSOCIATED	SECRETED				CST1
1470	Tbio							ASSOCIATED	SECRETED				CST2
1471	Tbio							ASSOCIATED	SECRETED				CST3
1472	Tbio							ASSOCIATED	SECRETED				CST4
1473	Tbio							ASSOCIATED	SECRETED				CST5
1474	Tbio							ASSOCIATED	SECRETED	N			CST6
1475	Tbio	BOTH						ASSOCIATED					CSTA
1476	Tbio	CYTOPLASM						ASSOCIATED					CSTB
1477	Tbio												CSTF1
1478	Tbio												CSTF2
1479	Tbio	NUCLEUS											CSTF3
1482	Tbio	BOTH											NKX2-5
1485	Tbio	CYTOPLASM				nonsurface							CTAG1B
1486	Tbio												CTBS
1487	Tbio	NUCLEUS									O		CTBP1
1488	Tchem	NUCLEUS											CTBP2
1489	Tbio							ASSOCIATED	SECRETED				CTF1
1490	Tbio							CORE	SECRETED	N	O		CTGF
1491	Tchem	CYTOPLASM									O		CTH
1493	Tclin		GOLGI			surface	Cell Membrane			N	O	IO	CTLA4
1495	Tbio		GOLGI				Cell Membrane				O		CTNNA1
1496	Tbio	BOTH					Cell Membrane						CTNNA2
1497	Tbio					surface	Cell Membrane			N			CTNS
1499	Tchem	BOTH					Cell Membrane				O		CTNNB1
1500	Tbio	BOTH					Cell Membrane						CTNND1
1501	Tbio	BOTH									O		CTNND2
1503	Tbio	CYTOPLASM											CTPS1
1504	Tchem												CTRB1
1506	Tchem									N			CTRL
1508	Tchem							ASSOCIATED	SECRETED	N			CTSB
1509	Tchem							ASSOCIATED	SECRETED	N			CTSD
1510	Tchem							ASSOCIATED					CTSE
1511	Tchem	BOTH						ASSOCIATED		N			CTSG
1512	Tchem							ASSOCIATED		N			CTSH
1513	Tchem							ASSOCIATED		N			CTSK
1514	Tchem	NUCLEUS						ASSOCIATED		N			CTSL
1515	Tchem							ASSOCIATED		N			CTSV
1519	Tbio							ASSOCIATED					CTSO
1520	Tchem							ASSOCIATED		N			CTSS
1521	Tbio							ASSOCIATED			O		CTSW
1522	Tchem		ENDORETICULUM					ASSOCIATED		N			CTSZ
1523	Tbio	NUCLEUS	GOLGI			nonsurface					O		CUX1
1524	Tchem	NUCLEUS				surface	Cell Membrane			N	O		CX3CR1
1525	Tbio	CYTOPLASM				surface	Cell Membrane		SECRETED	N	O		CXADR
1527	Tdark					nonsurface							TEX28
1528	Tbio					nonsurface							CYB5A
1534	Tbio					nonsurface							CYB561
1535	Tbio	NUCLEUS	GOLGI			nonsurface	Cell Membrane						CYBA
1536	Tchem		GOLGI			surface	Cell Membrane						CYBB
1537	Tbio	NUCLEUS		MIM	OXPHOS > Complex III > CIII subunits | Metabolism > Metals and cofactors > Heme-containing proteins | Metabolism > Electron carriers > Cytochromes | OXPHOS > OXPHOS subunits	nonsurface							CYC1
1538	Tdark	NUCLEUS											CYLC1
1539	Tbio	NUCLEUS											CYLC2
1540	Tbio						Cell Membrane						CYLD
1543	Tchem												CYP1A1
1544	Tchem					nonsurface							CYP1A2
1545	Tchem					nonsurface					O		CYP1B1
1548	Tchem	CYTOPLASM											CYP2A6
1549	Tbio	CYTOPLASM											CYP2A7
1551						nonsurface							CYP3A7
1553	Tbio	CYTOPLASM											CYP2A13
1555	Tchem	CYTOPLASM											CYP2B6
1557	Tchem	CYTOPLASM											CYP2C19
1558	Tchem	CYTOPLASM											CYP2C8
1559	Tchem	CYTOPLASM											CYP2C9
1562	Tchem	CYTOPLASM											CYP2C18
1564	Tbio	CYTOPLASM											CYP2D7
1565	Tclin	CYTOPLASM	ENDORETICULUM			nonsurface							CYP2D6
1571	Tchem	CYTOPLASM											CYP2E1
1572	Tbio	CYTOPLASM											CYP2F1
1573	Tchem	CYTOPLASM											CYP2J2
1576	Tclin	CYTOPLASM				nonsurface				N			CYP3A4
1577	Tclin					nonsurface							CYP3A5
1579	Tbio	CYTOPLASM				nonsurface							CYP4A11
1580	Tbio					nonsurface							CYP4B1
1581	Tbio					nonsurface							CYP7A1
1582	Tbio		ENDORETICULUM			nonsurface							CYP8B1
1583	Tclin			MIM	Metabolism > Lipid metabolism > Cholesterol, bile acid, steroid synthesis | Metabolism > Metals and cofactors > Heme-containing proteins								CYP11A1
1584	Tclin			MIM	Metabolism > Lipid metabolism > Cholesterol, bile acid, steroid synthesis | Metabolism > Metals and cofactors > Heme-containing proteins								CYP11B1
1585	Tchem			MIM	Metabolism > Lipid metabolism > Cholesterol, bile acid, steroid synthesis | Metabolism > Metals and cofactors > Heme-containing proteins								CYP11B2
1586	Tclin		ENDORETICULUM										CYP17A1
1587								ASSOCIATED					ADAM3A
1588	Tclin		ENDORETICULUM			nonsurface							CYP19A1
1589	Tchem												CYP21A2
1591	Tchem	NUCLEUS		MIM	Metabolism > Metals and cofactors > Heme-containing proteins | Metabolism > Vitamin metabolism > Vitamin D metabolism								CYP24A1
1592	Tchem												CYP26A1
1593	Tchem			MIM	Metabolism > Lipid metabolism > Cholesterol, bile acid, steroid synthesis | Metabolism > Metals and cofactors > Heme-containing proteins								CYP27A1
1594	Tchem	CYTOPLASM		MIM	Metabolism > Metals and cofactors > Heme-containing proteins | Metabolism > Vitamin metabolism > Vitamin D metabolism								CYP27B1
1595	Tchem		ENDORETICULUM			nonsurface							CYP51A1
1596								ASSOCIATED					ADAM3B
1600	Tbio												DAB1
1601	Tbio										O		DAB2
1602	Tbio	BOTH									O		DACH1
1603	Tbio					nonsurface							DAD1
1604	Tbio					surface	Cell Membrane		SECRETED	N			CD55
1605	Tbio	CYTOPLASM				surface	Cell Membrane		SECRETED	N	O		DAG1
1606	Tbio										O		DGKA
1607	Tbio	CYTOPLASM									O		DGKB
1608	Tbio	CYTOPLASM									O		DGKG
1609	Tbio	BOTH					Cell Membrane						DGKQ
1610	Tchem												DAO
1611	Tbio												DAP
1612	Tchem	BOTH									O		DAPK1
1613	Tchem	BOTH											DAPK3
1615	Tbio	CYTOPLASM											DARS
1616	Tbio	BOTH									O		DAXX
1617	Tbio	BOTH											DAZ1
1618	Tbio	BOTH											DAZL
1620	Tbio	CYTOPLASM	ENDORETICULUM										BRINP1
1621	Tchem	CYTOPLASM	ENDORETICULUM							N			DBH
1622	Tbio		GOLGI	unknown	Metabolism > Lipid metabolism								DBI
1627	Tbio	CYTOPLASM											DBN1
1628	Tbio	NUCLEUS											DBP
1629	Tbio	CYTOPLASM		Matrix	Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Branched-chain amino acid dehydrogenase complex								DBT
1630	Tbio					surface				N			DCC
1632	Tbio			Matrix	Metabolism > Lipid metabolism > Fatty acid oxidation								ECI1
1633	Tchem	BOTH											DCK
1634	Tbio							CORE	SECRETED	N	O		DCN
1635	Tbio	CYTOPLASM											DCTD
1636	Tclin					surface	Cell Membrane		SECRETED	N			ACE
1638	Tbio					surface				N			DCT
1639	Tbio	CYTOPLASM											DCTN1
1641	Tbio										O		DCX
1642	Tbio	BOTH											DDB1
1643	Tbio												DDB2
1644	Tclin												DDC
1645	Tchem												AKR1C1
1646	Tchem												AKR1C2
1647	Tbio	BOTH											GADD45A
1649	Tchem	BOTH									O		DDIT3
1650	Tchem		ENDORETICULUM			nonsurface							DDOST
1652	Tbio	CYTOPLASM											DDT
1653	Tbio	BOTH											DDX1
1654	Tchem	BOTH									O		DDX3X
1655	Tbio	NUCLEUS									O		DDX5
1656	Tbio	BOTH											DDX6
1657	Tdark												DMXL1
1659	Tbio	NUCLEUS											DHX8
1660	Tbio	BOTH											DHX9
1662	Tbio												DDX10
1663	Tbio	BOTH									O		DDX11
1665	Tbio	NUCLEUS											DHX15
1666	Tbio	NUCLEUS		Matrix	Metabolism > Lipid metabolism > Fatty acid oxidation								DECR1
1667	Tbio								SECRETED				DEFA1
1668	Tbio								SECRETED				DEFA3
1669	Tbio								SECRETED				DEFA4
1670	Tbio								SECRETED				DEFA5
1671	Tbio								SECRETED				DEFA6
1672	Tbio								SECRETED				DEFB1
1673									SECRETED				DEFB4A
1674	Tbio	NUCLEUS											DES
1675	Tchem								SECRETED		O		CFD
1676	Tbio	NUCLEUS											DFFA
1677	Tbio	NUCLEUS											DFFB
1678	Tbio			MIM	Protein import, sorting and homeostasis > Protein homeostasis > Chaperones | Protein import, sorting and homeostasis > Protein import and sorting								TIMM8A
1687	Tbio												DFNA5
1690	Tbio							CORE	SECRETED				COCH
1716	Tbio	BOTH		Matrix	Metabolism > Nucleotide metabolism > Nucleotide synthesis and processing								DGUOK
1717	Tchem		ENDORETICULUM			nonsurface							DHCR7
1718	Tbio	BOTH	ENDORETICULUM			nonsurface					O		DHCR24
1719	Tclin												DHFR
1723	Tclin			MIM	Metabolism > Nucleotide metabolism > Nucleotide synthesis and processing | Metabolism > Electron carriers > Q-linked reactions, other	nonsurface							DHODH
1725	Tbio	CYTOPLASM											DHPS
1727	Tbio	CYTOPLASM	ENDORETICULUM	MOM	Metabolism > Detoxification > Xenobiotic metabolism | Metabolism > Detoxification > Amidoxime reducing complex | Metabolism > Lipid metabolism	nonsurface							CYB5R3
1728	Tchem	CYTOPLASM											NQO1
1729	Tbio	BOTH					Cell Membrane				O		DIAPH1
1730	Tbio		ENDORETICULUM										DIAPH2
1731	Tdark												SEPT1
1733	Tclin					nonsurface							DIO1
1734	Tbio					nonsurface							DIO2
1735	Tbio					nonsurface	Cell Membrane						DIO3
1736	Tbio	BOTH											DKC1
1737	Tbio			Matrix	Metabolism > Carbohydrate metabolism > Pyruvate metabolism								DLAT
1738	Tbio	NUCLEUS		Matrix	Metabolism > Carbohydrate metabolism > Pyruvate metabolism | Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Branched-chain amino acid dehydrogenase complex | Metabolism > Amino acid metabolism > Lysine metabolism | Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Amino acid metabolism > Glycine cleavage system								DLD
1739	Tbio	BOTH	BOTH				Cell Membrane			N	O		DLG1
1740	Tbio						Cell Membrane						DLG2
1741	Tbio												DLG3
1742	Tchem	CYTOPLASM	ENDORETICULUM				Cell Membrane				O		DLG4
1743	Tbio	NUCLEUS		Matrix	Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Amino acid metabolism > Lysine metabolism								DLST
1745	Tbio	NUCLEUS											DLX1
1746	Tbio	NUCLEUS									O		DLX2
1747	Tbio	NUCLEUS											DLX3
1748	Tbio	NUCLEUS											DLX4
1749	Tbio	BOTH											DLX5
1750	Tbio	NUCLEUS											DLX6
1755	Tbio	CYTOPLASM						CORE	SECRETED	N			DMBT1
1756	Tbio						Cell Membrane			N			DMD
1757	Tbio	CYTOPLASM		Matrix	Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Vitamin metabolism > Choline and betaine metabolism | Metabolism > Vitamin metabolism > Folate and 1-C metabolism								SARDH
1758	Tbio	NUCLEUS						CORE	SECRETED				DMP1
1759	Tbio	BOTH	GOLGI										DNM1
1760	Tchem			MOM	0	nonsurface	Cell Membrane						DMPK
1761	Tbio	BOTH									O		DMRT1
1762	Tbio	NUCLEUS											DMWD
1763	Tbio	BOTH		Matrix	Mitochondrial central dogma > mtDNA maintenance > mtDNA replication | Metabolism > Metals and cofactors > Fe-S-containing proteins								DNA2
1767	Tbio												DNAH5
1768	Tdark												DNAH6
1769	Tdark												DNAH8
1770	Tdark					nonsurface							DNAH9
1773	Tchem	NUCLEUS							SECRETED	N			DNASE1
1774	Tbio	NUCLEUS	ENDORETICULUM										DNASE1L1
1775	Tbio	BOTH							SECRETED				DNASE1L2
1776	Tbio	NUCLEUS	ENDORETICULUM										DNASE1L3
1777	Tbio												DNASE2
1778	Tbio												DYNC1H1
1780	Tbio	BOTH											DYNC1I1
1781	Tbio	CYTOPLASM									O		DYNC1I2
1783	Tbio												DYNC1LI2
1785	Tchem	BOTH	GOLGI				Cell Membrane				O		DNM2
1786	Tclin	NUCLEUS											DNMT1
1787	Tbio	CYTOPLASM											TRDMT1
1788	Tclin	BOTH											DNMT3A
1789	Tchem	NUCLEUS											DNMT3B
1791	Tchem	NUCLEUS											DNTT
1793	Tbio	BOTH									O		DOCK1
1794	Tbio										O		DOCK2
1795	Tbio					nonsurface					O		DOCK3
1796	Tbio	NUCLEUS											DOK1
1797	Tbio	NUCLEUS											DXO
1798	Tbio					nonsurface							DPAGT1
1800	Tclin	NUCLEUS				surface	Cell Membrane			N			DPEP1
1801	Tbio												DPH1
1802	Tbio												DPH2
1803	Tclin					surface	Cell Membrane		SECRETED	N			DPP4
1804	Tbio					surface							DPP6
1805	Tbio							CORE	SECRETED				DPT
1806	Tclin	CYTOPLASM											DPYD
1807	Tbio												DPYS
1808	Tbio												DPYSL2
1809	Tbio									N			DPYSL3
1810	Tbio	NUCLEUS											DR1
1811	Tbio					surface	Cell Membrane						SLC26A3
1812	Tclin	NUCLEUS				surface	Cell Membrane			N	O		DRD1
1813	Tclin					surface	Cell Membrane			N	O		DRD2
1814	Tclin					surface	Cell Membrane			N	O		DRD3
1815	Tchem					surface	Cell Membrane				O		DRD4
1816	Tchem					surface	Cell Membrane			N			DRD5
1819	Tbio	BOTH											DRG2
1820	Tbio	NUCLEUS								N	O		ARID3A
1821	Tbio												DRP2
1822	Tbio	BOTH									O		ATN1
1823	Tbio					surface	Cell Membrane						DSC1
1824	Tbio					surface	Cell Membrane						DSC2
1825	Tbio	CYTOPLASM				surface	Cell Membrane			N			DSC3
1826	Tbio					surface	Cell Membrane		SECRETED	N			DSCAM
1827	Tbio	BOTH											RCAN1
1828	Tbio					surface	Cell Membrane				O		DSG1
1829	Tbio					surface	Cell Membrane						DSG2
1830	Tbio					surface	Cell Membrane						DSG3
1831	Tbio	NUCLEUS											TSC22D3
1832	Tbio	BOTH											DSP
1833	Tbio							CORE	SECRETED				EPYC
1834	Tbio	CYTOPLASM						CORE	SECRETED				DSPP
1836	Tbio					surface				N			SLC26A2
1837	Tbio	CYTOPLASM					Cell Membrane				O		DTNA
1838	Tbio	CYTOPLASM											DTNB
1839	Tbio					surface	Cell Membrane	ASSOCIATED	SECRETED		O		HBEGF
1840	Tbio	CYTOPLASM											DTX1
1841	Tbio	BOTH		Matrix	Metabolism > Nucleotide metabolism > Nucleotide synthesis and processing								DTYMK
1842	Tdark							CORE	SECRETED				ECM2
1843	Tchem	BOTH											DUSP1
1844	Tbio	BOTH											DUSP2
1845	Tchem	NUCLEUS											DUSP3
1846	Tbio	BOTH									O		DUSP4
1847	Tbio	BOTH											DUSP5
1848	Tbio	CYTOPLASM											DUSP6
1849	Tbio	CYTOPLASM											DUSP7
1850	Tbio	BOTH											DUSP8
1852	Tbio	BOTH											DUSP9
1854	Tchem	NUCLEUS		Matrix	Metabolism > Nucleotide metabolism > Nucleotide synthesis and processing								DUT
1855	Tchem						Cell Membrane				O		DVL1
1856	Tbio	BOTH					Cell Membrane				O		DVL2
1857	Tbio										O		DVL3
1859	Tchem	BOTH									O		DYRK1A
1861	Tbio		ENDORETICULUM				Cell Membrane						TOR1A
1869	Tbio	NUCLEUS									O		E2F1
1870	Tbio	NUCLEUS											E2F2
1871	Tbio	NUCLEUS									O		E2F3
1874	Tbio	NUCLEUS									O		E2F4
1875	Tbio	BOTH									O		E2F5
1876	Tbio	NUCLEUS											E2F6
1877	Tbio	CYTOPLASM											E4F1
1879	Tbio	NUCLEUS									O		EBF1
1880	Tchem					surface	Cell Membrane			N			GPR183
1889	Tchem					surface	Cell Membrane			N			ECE1
1890	Tclin												TYMP
1891	Tbio			Matrix	Metabolism > Lipid metabolism								ECH1
1892	Tbio			Matrix	Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Lysine metabolism								ECHS1
1893	Tbio							CORE	SECRETED	N	O		ECM1
1894	Tbio	BOTH											ECT2
1896	Tbio					surface	Cell Membrane	ASSOCIATED	SECRETED	N	O		EDA
1901	Tclin					surface	Cell Membrane			N	O		S1PR1
1902	Tchem					surface	Cell Membrane			N	O		LPAR1
1903	Tclin					surface	Cell Membrane			N	O		S1PR3
1906	Tbio	CYTOPLASM							SECRETED		O		EDN1
1907	Tbio								SECRETED		O		EDN2
1908	Tbio								SECRETED				EDN3
1909	Tclin					surface	Cell Membrane			N	O		EDNRA
1910	Tclin					surface	Cell Membrane			N			EDNRB
1911	Tbio	NUCLEUS									O		PHC1
1912	Tbio	NUCLEUS											PHC2
1915	Tchem	BOTH											EEF1A1
1917	Tchem	BOTH											EEF1A2
1933	Tbio	BOTH	ENDORETICULUM										EEF1B2
1936	Tbio	BOTH	ENDORETICULUM										EEF1D
1937	Tbio	BOTH	ENDORETICULUM										EEF1G
1938	Tchem	BOTH											EEF2
1939	Tbio	CYTOPLASM											EIF2D
1942	Tbio					surface	Cell Membrane		SECRETED	N			EFNA1
1943	Tbio					surface	Cell Membrane			N			EFNA2
1944	Tbio					surface	Cell Membrane			N			EFNA3
1945	Tbio					surface	Cell Membrane		SECRETED	N			EFNA4
1946	Tbio					surface	Cell Membrane				O		EFNA5
1947	Tbio	BOTH				surface				N			EFNB1
1948	Tbio					surface					O		EFNB2
1949	Tbio					surface				N	O		EFNB3
1950	Tbio					surface		ASSOCIATED		N	O		EGF
1951	Tbio					surface	Cell Membrane				O		CELSR3
1952	Tbio	CYTOPLASM				surface	Cell Membrane				O		CELSR2
1953	Tdark							ASSOCIATED	SECRETED	N			MEGF6
1954	Tbio	NUCLEUS				surface		ASSOCIATED					MEGF8
1955	Tdark					surface		ASSOCIATED					MEGF9
1956	Tclin	BOTH				surface	Cell Membrane		SECRETED	N	O		EGFR
1958	Tbio	BOTH									O		EGR1
1959	Tbio	BOTH									O		EGR2
1960	Tbio	NUCLEUS									O		EGR3
1961	Tbio	NUCLEUS											EGR4
1962	Tbio			unknown	Metabolism > Lipid metabolism								EHHADH
1964	Tbio												EIF1AX
1965	Tbio	NUCLEUS											EIF2S1
1967	Tbio	CYTOPLASM											EIF2B1
1968	Tbio	BOTH											EIF2S3
1969	Tclin					surface	Cell Membrane			N			EPHA2
1973	Tchem	BOTH											EIF4A1
1974	Tbio												EIF4A2
1975	Tbio												EIF4B
1977	Tchem	CYTOPLASM											EIF4E
1978	Tbio	BOTH											EIF4EBP1
1979	Tbio	CYTOPLASM											EIF4EBP2
1981	Tbio	BOTH									O		EIF4G1
1982	Tbio										O		EIF4G2
1983	Tbio	BOTH											EIF5
1984	Tbio	BOTH											EIF5A
1990	Tchem							ASSOCIATED	SECRETED	N	O		CELA1
1991	Tclin	CYTOPLASM						ASSOCIATED		N			ELANE
1992	Tbio							ASSOCIATED		N			SERPINB1
1993	Tbio												ELAVL2
1994	Tchem	BOTH											ELAVL1
1995	Tbio												ELAVL3
1996	Tbio												ELAVL4
1997	Tbio	NUCLEUS									O		ELF1
1998	Tbio	NUCLEUS									O		ELF2
1999	Tbio	NUCLEUS	GOLGI								O		ELF3
2000	Tbio	NUCLEUS									O		ELF4
2001	Tbio	BOTH											ELF5
2002	Tbio	NUCLEUS									O		ELK1
2004	Tbio	NUCLEUS											ELK3
2005	Tbio	NUCLEUS											ELK4
2006	Tbio							CORE	SECRETED				ELN
2009	Tbio												EML1
2010	Tbio	CYTOPLASM	ENDORETICULUM			nonsurface							EMD
2011	Tchem	CYTOPLASM					Cell Membrane						MARK2
2012	Tbio					surface							EMP1
2013	Tbio	BOTH	GOLGI			surface	Cell Membrane						EMP2
2014	Tbio					surface							EMP3
2015	Tbio					surface	Cell Membrane			N			ADGRE1
2016	Tbio	BOTH											EMX1
2017	Tbio	CYTOPLASM	GOLGI										CTTN
2018	Tbio	NUCLEUS											EMX2
2019	Tbio	NUCLEUS									O		EN1
2020	Tbio	NUCLEUS									O		EN2
2021	Tbio	NUCLEUS		IMS	Mitochondrial central dogma > mtDNA maintenance > mtDNA stability and decay | Mitochondrial central dogma > mtRNA metabolism > mtRNA stability and decay | Mitochondrial dynamics and surveillance > Apoptosis								ENDOG
2022	Tbio					surface				N	O		ENG
2023	Tchem	BOTH					Cell Membrane			N			ENO1
2026	Tbio						Cell Membrane						ENO2
2027	Tbio												ENO3
2028	Tchem	CYTOPLASM				surface				N			ENPEP
2029	Tbio	CYTOPLASM											ENSA
2030	Tclin					surface	Cell Membrane				O		SLC29A1
2033	Tchem	NUCLEUS									O		EP300
2034	Tchem	NUCLEUS									O		EPAS1
2035	Tbio	NUCLEUS									O		EPB41
2036	Tbio												EPB41L1
2037	Tbio	NUCLEUS					Cell Membrane						EPB41L2
2038	Tbio						Cell Membrane				O		EPB42
2039	Tbio						Cell Membrane				O		DMTN
2040	Tbio		ENDORETICULUM	Membrane	0		Cell Membrane			N			STOM
2041	Tchem					surface	Cell Membrane			N	O		EPHA1
2042	Tchem					surface	Cell Membrane		SECRETED	N			EPHA3
2043	Tchem	CYTOPLASM	BOTH			surface	Cell Membrane			N			EPHA4
2044	Tchem					surface	Cell Membrane			N			EPHA5
2045	Tchem					surface	Cell Membrane			N			EPHA7
2046	Tchem					surface	Cell Membrane			N			EPHA8
2047	Tchem		ENDORETICULUM			surface	Cell Membrane			N			EPHB1
2048	Tchem	NUCLEUS				surface	Cell Membrane			N			EPHB2
2049	Tchem					surface	Cell Membrane			N			EPHB3
2050	Tchem					surface	Cell Membrane			N			EPHB4
2051	Tchem					surface			SECRETED	N			EPHB6
2052	Tchem												EPHX1
2053	Tchem			unknown	Metabolism > Detoxification > Xenobiotic metabolism | Metabolism > Lipid metabolism						O		EPHX2
2054	Tbio					nonsurface				N			STX2
2055	Tbio		ENDORETICULUM			nonsurface							CLN8
2056	Tbio							ASSOCIATED	SECRETED	N	O		EPO
2057	Tclin					surface	Cell Membrane		SECRETED	N			EPOR
2058	Tchem	CYTOPLASM											EPRS
2059	Tbio						Cell Membrane						EPS8
2060	Tbio						Cell Membrane						EPS15
2063	Tbio	NUCLEUS											NR2F6
2064	Tclin	NUCLEUS				surface	Cell Membrane						ERBB2
2065	Tchem					surface	Cell Membrane		SECRETED	N	O		ERBB3
2066	Tclin	NUCLEUS				surface	Cell Membrane			N	O		ERBB4
2067	Tbio										O		ERCC1
2068	Tbio	BOTH											ERCC2
2069	Tbio					surface	Cell Membrane	ASSOCIATED	SECRETED	N	O		EREG
2070	Tbio	BOTH									O		EYA4
2071	Tbio	NUCLEUS									O		ERCC3
2072	Tbio	NUCLEUS											ERCC4
2073	Tchem	NUCLEUS									O		ERCC5
2074	Tbio	NUCLEUS											ERCC6
2077	Tbio	NUCLEUS											ERF
2078	Tbio	BOTH											ERG
2079	Tbio												ERH
2081	Tchem	CYTOPLASM	ENDORETICULUM			nonsurface							ERN1
2086	Tbio												ERV3-1
2091	Tbio	NUCLEUS											FBL
2098	Tbio												ESD
2099	Tclin	BOTH	GOLGI				Cell Membrane				O		ESR1
2100	Tclin	NUCLEUS								N			ESR2
2101	Tchem	BOTH									O		ESRRA
2103	Tchem	BOTH									O		ESRRB
2104	Tchem										O		ESRRG
2107	Tbio	BOTH											ETF1
2108	Tbio			Matrix	Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Lysine metabolism | Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Vitamin metabolism > Choline and betaine metabolism | Metabolism > Electron carriers > Q-linked reactions, other								ETFA
2109	Tbio			Matrix	Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Lysine metabolism | Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Vitamin metabolism > Choline and betaine metabolism | Metabolism > Electron carriers > Q-linked reactions, other								ETFB
2110	Tbio			MIM	Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Lysine metabolism | Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Metals and cofactors > Fe-S-containing proteins | Metabolism > Vitamin metabolism > Choline and betaine metabolism | Metabolism > Electron carriers > Q-linked reactions, other	nonsurface							ETFDH
2113	Tbio	BOTH									O		ETS1
2114	Tbio	NUCLEUS									O		ETS2
2115	Tbio	NUCLEUS									O		ETV1
2116	Tbio	NUCLEUS											ETV2
2117	Tbio	NUCLEUS											ETV3
2118	Tbio	NUCLEUS									O		ETV4
2119	Tbio	NUCLEUS									O		ETV5
2120	Tbio	NUCLEUS											ETV6
2121	Tbio	CYTOPLASM				nonsurface	Cell Membrane						EVC
2122	Tbio	NUCLEUS									O		MECOM
2123	Tbio					surface							EVI2A
2124	Tbio					surface				N			EVI2B
2125	Tbio	CYTOPLASM											EVPL
2128	Tbio										O		EVX1
2130	Tbio	BOTH					Cell Membrane						EWSR1
2131	Tbio		BOTH			nonsurface							EXT1
2132	Tbio		BOTH			nonsurface							EXT2
2134	Tbio					nonsurface							EXTL1
2135	Tbio		ENDORETICULUM			nonsurface			SECRETED	N			EXTL2
2137	Tbio		BOTH			nonsurface							EXTL3
2138	Tbio	BOTH									O		EYA1
2139	Tbio	NUCLEUS											EYA2
2140	Tbio	BOTH											EYA3
2145	Tchem												EZH1
